Mot clé pour le Réseau de Recherche;Éligible_Conversions;Éligible_Coût/conv.;Éligible_Taux de conv.;Éligible_Clics;Éligible_Impr.;Éligible_Coût;Éligible_CTR;Éligible_CPC moy.
 +abonnement +magazine +télé;0;0;0.00%;10;71;4.34;14.08%;0.43
 +abonnement +magazine +tv;0.02;832.84;0.05%;28;251;12.77;11.16%;0.46
 +abonnement +programme +tele;0;0;0.00%;1;18;0.25;5.56%;0.25
 +abonnement +programme +tv;0;0;0.00%;13;59;7.16;22.03%;0.55
 +fae +abonnement;11.1;6.95;3.89%;285;451;77.19;63.19%;0.27
 +fae +reduction;0;0;0.00%;2;2;0.68;100.00%;0.34
 +kiosque +abonnement;0;0;0;0;30;0;0.00%;0
 +magazine +programme +tv;0;0;0.00%;15;306;7.36;4.90%;0.49
 +magazine +tv +abonnement;0;0;0.00%;3;30;1.8;10.00%;0.6
 +programme +tv +abonnement;0;0;0.00%;3;22;1.19;13.64%;0.4
abo lepoint;0;0;0.00%;1;31;0.27;3.23%;0.27
abonement enfant;0;0;0;0;2;0;0.00%;0
abonnement 01 net;0;0;0.00%;5;46;1.29;10.87%;0.26
abonnement 01net;0;0;0.00%;5;73;2.4;6.85%;0.48
abonnement 01net pas cher;0;0;0.00%;2;7;2.32;28.57%;1.16
abonnement actualité;0;0;0.00%;22;280;4.79;7.86%;0.22
abonnement adl partner;0;0;0.00%;1;32;0.42;3.13%;0.42
abonnement ado;0;0;0.00%;5;54;2.65;9.26%;0.53
abonnement adolescent;0;0;0.00%;2;22;1.07;9.09%;0.54
abonnement auto moto;2;7.51;7.41%;27;129;15.01;20.93%;0.56
abonnement auto moto pas cher;0;0;0;0;20;0;0.00%;0
abonnement bd enfant;0;0;0;0;2;0;0.00%;0
abonnement bd jeunesse;0;0;0.00%;4;28;1.66;14.29%;0.42
abonnement beaux arts magazine;0;0;0.00%;6;98;3.72;6.12%;0.62
abonnement biba;0.5;33.02;2.27%;22;133;16.51;16.54%;0.75
abonnement box ado;0;0;0;0;0;0;0;0
abonnement box enfant;0;0;0.00%;1;5;0.12;20.00%;0.12
abonnement cheval magazine;1;15.99;4.00%;25;106;15.99;23.58%;0.64
abonnement ciel et espace;2;19.14;4.08%;49;191;38.28;25.65%;0.78
abonnement elle a table;0;0;0;0;15;0;0.00%;0
abonnement elle decoration;2.51;3.87;16.77%;15;92;9.74;16.30%;0.65
abonnement enfance;0;0;0.00%;4;78;2.63;5.13%;0.66
abonnement enfant;0;0;0.00%;3;71;1.7;4.23%;0.57
abonnement enfant magazine;0;0;0.00%;2;61;1.57;3.28%;0.79
abonnement enfants;0;0;0.00%;5;53;2.3;9.43%;0.46
abonnement esprit yoga;0.99;5.53;7.06%;14;53;5.46;26.42%;0.39
abonnement express;0;0;0.00%;10;124;7.38;8.06%;0.74
abonnement fae;0;0;0;0;0;0;0;0
abonnement fae;0.83;6.14;5.16%;16;35;5.07;45.71%;0.32
abonnement feminin;0;0;0.00%;11;78;5.07;14.10%;0.46
abonnement france abonnement;0;0;0.00%;14;30;7.89;46.67%;0.56
abonnement france entreprise;0;0;0.00%;37;89;26.79;41.57%;0.72
abonnement genealogie;0;0;0;0;9;0;0.00%;0
abonnement geo ado;0;0;0;0;0;0;0;0
abonnement géo ado;0;0;0;0;8;0;0.00%;0
abonnement geo ado pas cher;0;0;0;0;1;0;0.00%;0
abonnement golf magazine;0;0;0.00%;5;39;3.46;12.82%;0.69
abonnement grands reportages;0;0;0;0;9;0;0.00%;0
abonnement happinez;1.32;10.41;5.28%;25;80;13.74;31.25%;0.55
abonnement hebdomadaire enfant;0;0;0.00%;2;27;0.46;7.41%;0.23
abonnement home magazine;1;4.91;14.29%;7;36;4.91;19.44%;0.7
abonnement jeunesse;0;0;0.00%;15;134;5.6;11.19%;0.37
abonnement journal ado;0;0;0;0;0;0;0;0
abonnement journal des enfants;0;0;0;0;29;0;0.00%;0
abonnement journal enfant;0;0;0.00%;1;34;0.59;2.94%;0.59
abonnement journal feminin;0;0;0;0;1;0;0.00%;0
abonnement junior;0;0;0.00%;10;70;3.62;14.29%;0.36
abonnement kiosque;0;0;0.00%;26;567;8.39;4.59%;0.32
abonnement kiosque fae;0;0;0.00%;10;26;3.84;38.46%;0.38
abonnement l ami des jardins pas cher;3;5.08;12.00%;25;216;15.24;11.57%;0.61
abonnement l express;0;0;0.00%;10;120;6.46;8.33%;0.65
abonnement l express papier;0;0;0.00%;1;14;0.85;7.14%;0.85
abonnement l express pas cher;0;0;0.00%;9;47;5.93;19.15%;0.66
abonnement le cycle;3.37;7.35;18.73%;18;75;24.79;24.00%;1.38
abonnement le cycle pas cher;1;2.6;50.00%;2;14;2.6;14.29%;1.3
abonnement le journal des enfants;0;0;0;0;0;0;0;0
abonnement le monde des ado;0;0;0.00%;1;3;0.45;33.33%;0.45
abonnement le monde des ados;0;0;0;0;3;0;0.00%;0
abonnement le monde du camping car;0;0;0;0;0;0;0;0
abonnement le point;0;0;0;0;1;0;0.00%;0
abonnement le point;0;0;0.00%;33;640;23.99;5.16%;0.73
abonnement le point pas cher;0.37;7.88;5.31%;7;104;2.93;6.73%;0.42
abonnement lecture enfant;0;0;0;0;22;0;0.00%;0
abonnement lecture enfants;0;0;0;0;5;0;0.00%;0
abonnement lecture jeunesse;0;0;0;0;15;0;0.00%;0
abonnement lepoint;0;0;0.00%;3;19;0.65;15.79%;0.22
abonnement livre ado;0;0;0.00%;2;30;0.59;6.67%;0.3
abonnement livre enfant;0;0;0.00%;2;64;1.04;3.13%;0.52
abonnement livre jeunesse;0;0;0.00%;7;33;3.45;21.21%;0.49
abonnement livré jeunesse;0;0;0;0;0;0;0;0
abonnement livre jeunesse ecole des loisirs;0;0;0;0;1;0;0.00%;0
abonnement livre pour enfant;0;0;0.00%;1;22;0.32;4.55%;0.32
abonnement livre pour enfants;0;0;0.00%;1;35;0.44;2.86%;0.44
abonnement livres enfant;0;0;0;0;2;0;0.00%;0
abonnement livres enfants;0;0;0.00%;6;81;2.26;7.41%;0.38
abonnement livres jeunesse;0;0;0.00%;5;54;1.21;9.26%;0.24
abonnement magazine actualité;1.5;3.53;7.89%;19;211;5.3;9.00%;0.28
abonnement magazine ado;0;0;0.00%;10;103;3.61;9.71%;0.36
abonnement magazine ado fille;0;0;0.00%;2;29;0.55;6.90%;0.28
abonnement magazine adolescent;0;0;0.00%;6;64;2.56;9.38%;0.43
abonnement magazine ados;0;0;0;0;0;0;0;0
abonnement magazine auto moto;0;0;0.00%;3;40;2.18;7.50%;0.73
abonnement magazine beaux arts;1;7.1;12.50%;8;65;7.1;12.31%;0.89
abonnement magazine cheval;0.18;35.66;0.99%;18;174;6.37;10.34%;0.35
abonnement magazine elle decoration;0;0;0.00%;1;8;0.48;12.50%;0.48
abonnement magazine enfance;0;0;0.00%;5;51;2.14;9.80%;0.43
abonnement magazine enfance pas cher;0;0;0;0;0;0;0;0
abonnement magazine enfant;0;0;0.00%;29;375;18.17;7.73%;0.63
abonnement magazine enfants;0;0;0.00%;3;39;1.11;7.69%;0.37
abonnement magazine feminin;0;0;0.00%;10;78;7.88;12.82%;0.79
abonnement magazine féminin;0.92;34.71;1.59%;58;454;31.98;12.78%;0.55
abonnement magazine femme;0;0;0.06%;7;100;2.17;7.00%;0.31
abonnement magazine femme 60 ans;0;0;0.00%;2;11;0.8;18.18%;0.4
abonnement magazine golf;0;0;0.00%;5;32;4.11;15.63%;0.82
abonnement magazine happinez;0;0;0;0;0;0;0;0
abonnement magazine jeune;0;0;0.00%;1;36;0.29;2.78%;0.29
abonnement magazine jeunesse;2;20.17;2.60%;77;897;40.33;8.58%;0.52
abonnement magazine jeunesse animaux;0;0;0;0;0;0;0;0
abonnement magazine jeunesse fille;0;0;0.00%;6;26;5.83;23.08%;0.97
abonnement magazine jeunesse pas cher;0;0;0.00%;11;42;4.81;26.19%;0.44
abonnement magazine jeunesse science;0;0;0;0;0;0;0;0
abonnement magazine junior;0;0;0;0;22;0;0.00%;0
abonnement magazine le point;0;0;0.00%;8;140;7.23;5.71%;0.9
abonnement magazine maxi;0;0;0.00%;33;208;23.73;15.87%;0.72
abonnement magazine petite enfance;0;0;0;0;0;0;0;0
abonnement magazine pour enfant;0;0;0.00%;4;31;1.67;12.90%;0.42
abonnement magazine premiere;0;0;0.00%;2;41;1.93;4.88%;0.97
abonnement magazine respire;3;2.79;21.43%;14;39;8.37;35.90%;0.6
abonnement magazine télé;0;0;0.00%;26;298;13.51;8.72%;0.52
abonnement magazine télé;0;0;0.00%;15;81;8.31;18.52%;0.55
abonnement magazine tele cable sat;0;0;0.00%;7;31;5.37;22.58%;0.77
abonnement magazine télévision;0;0;0.00%;3;17;1.8;17.65%;0.6
abonnement magazine tv;0;0;0.00%;11;62;7.97;17.74%;0.72
abonnement magazine tv;1;8.91;7.14%;14;80;8.91;17.50%;0.64
abonnement magazine tv pas cher;0;0;0.00%;13;120;6.75;10.83%;0.52
abonnement magazines enfant;0;0;0.00%;3;32;2.09;9.38%;0.7
abonnement magazines enfants;1;1.2;25.00%;4;45;1.2;8.89%;0.3
abonnement magazines féminins;0;0;0.00%;11;104;5;10.58%;0.45
abonnement magazines jeunesse;0;0;0.00%;5;30;3.03;16.67%;0.61
abonnement maxi;1.07;37.52;1.84%;58;329;40.06;17.63%;0.69
abonnement maxi pas cher;1;15.1;5.26%;19;86;15.1;22.09%;0.79
abonnement mensuel enfant;0;0;0;0;14;0;0.00%;0
abonnement mickey parade;0;0;0.00%;5;48;2.6;10.42%;0.52
abonnement mieux vivre;0;0;0.00%;30;137;22.25;21.90%;0.74
abonnement mieux vivre votre argent;0;0;0.00%;62;293;39.67;21.16%;0.64
abonnement mieux vivre votre argent 15 €;0;0;0.00%;1;1;0.92;100.00%;0.92
abonnement mieux vivre votre argent pas cher;0;0;0.00%;11;51;4.74;21.57%;0.43
abonnement monde des ados;0;0;0;0;0;0;0;0
abonnement moto journal;0;0;0.00%;14;68;8.3;20.59%;0.59
abonnement moto journal pas cher;0;0;0;0;0;0;0;0
abonnement onze mondial;0;0;0.00%;18;77;25.91;23.38%;1.44
abonnement politis;0;0;0.00%;6;30;3.03;20.00%;0.51
abonnement pour ado;0;0;0;0;19;0;0.00%;0
abonnement pour enfant;0;0;0.00%;6;39;1.36;15.38%;0.23
abonnement pour enfants;0;0;0.00%;3;32;1.24;9.38%;0.41
abonnement premiere;0;0;0.00%;7;55;7.72;12.73%;1.1
abonnement presse enfance;0;0;0.00%;3;30;0.58;10.00%;0.19
abonnement presse enfant;0;0;0.00%;3;63;1.96;4.76%;0.65
abonnement presse jeunesse;0;0;0.00%;5;56;2.1;8.93%;0.42
abonnement presse jeunesse pas cher;0;0;0;0;0;0;0;0
abonnement programme tele;0;0;0.00%;8;70;4.07;11.43%;0.51
abonnement programme tele;0;0;0.00%;12;57;6.95;21.05%;0.58
abonnement programme tv;0;0;0.00%;9;87;5.49;10.34%;0.61
abonnement programme tv;0;0;0.00%;33;189;23.63;17.46%;0.72
abonnement programme tv pas cher;0;0;0.00%;33;275;21.55;12.00%;0.65
abonnement psychologie positive;0;0;0.00%;1;1;0.45;100.00%;0.45
abonnement respire;2;0.91;50.00%;4;13;1.82;30.77%;0.46
abonnement retro;0;0;0.00%;3;17;2.14;17.65%;0.71
abonnement revue ado;0;0;0.00%;4;57;1.51;7.02%;0.38
abonnement revue enfance;0;0;0.00%;1;16;0.17;6.25%;0.17
abonnement revue enfant;0;0;0.00%;15;167;5.12;8.98%;0.34
abonnement revue enfants;0;0;0.00%;3;41;1.4;7.32%;0.47
abonnement revue femme;1;13.5;3.57%;28;166;13.5;16.87%;0.48
abonnement revue jeunesse;0;0;0.00%;61;600;26.05;10.17%;0.43
abonnement revues enfants;0;0;0;0;6;0;0.00%;0
abonnement revues jeunesse;0;0;0.00%;1;28;0.15;3.57%;0.15
abonnement roman jeunesse;0;0;0;0;1;0;0.00%;0
abonnement simple things;0;0;0.00%;1;12;0.33;8.33%;0.33
abonnement sorcières;0;0;0;0;14;0;0.00%;0
abonnement tele 7jours;3;12.38;7.32%;41;234;37.14;17.52%;0.91
abonnement tele cable sat;6.45;9.76;12.65%;51;194;62.97;26.29%;1.23
abonnement télé cable sat;0;0;0.00%;14;73;16.69;19.18%;1.19
abonnement tele cable sat moins cher;0;0;0.00%;1;2;0.66;50.00%;0.66
abonnement télé cable sat moins cher;1;37.44;2.86%;35;112;37.44;31.25%;1.07
abonnement télé câble sat moins cher;1;24.3;5.88%;17;37;24.3;45.95%;1.43
abonnement telecable sat;3.5;14.22;8.97%;39;123;49.76;31.71%;1.28
abonnement telecablesat;0;0;0.00%;13;71;13.6;18.31%;1.05
abonnement telecablesat pas cher;4;5.49;20.00%;20;59;21.97;33.90%;1.1
abonnement time;0;0;0.00%;2;27;3.81;7.41%;1.91
abonnement time magazine;1;4.45;12.50%;8;48;4.45;16.67%;0.56
abonnement times;1;6.96;16.67%;6;47;6.96;12.77%;1.16
abonnement times magazine;0;0;0.00%;2;24;1.45;8.33%;0.73
abonnement topgear;1;2.33;50.00%;2;20;2.33;10.00%;1.17
abonnement tv cable sat;0;0;0.00%;15;75;14.39;20.00%;0.96
abonnement valeurs actuelles;0;0;0.00%;1;2;0.21;50.00%;0.21
abonnement valeurs actuelles;0;0;0.00%;25;200;11.36;12.50%;0.45
abonnement valeurs actuelles pas cher;0;0;0.00%;12;107;10.05;11.21%;0.84
abonnement valeurs actuelles promo;0;0;0;0;12;0;0.00%;0
abonnement yoga magazine;0;0;0;0;2;0;0.00%;0
abonnements enfant;0;0;0.00%;2;22;0.62;9.09%;0.31
abonnements enfants;0;0;0.00%;6;56;3.51;10.71%;0.59
abonnements livres jeunesse;0;0;0;0;0;0;0;0
abonnements magazine jeunesse;0;0;0.00%;1;8;0.34;12.50%;0.34
abonnements magazines enfants;0;0;0.00%;7;33;3.23;21.21%;0.46
abonnements magazines jeunesse;0;0;0.00%;1;40;0.4;2.50%;0.4
abonnements magazines pour enfants;0;0;0.00%;2;13;0.56;15.38%;0.28
abonnements revues jeunesse;0;0;0.00%;2;26;1.33;7.69%;0.67
adlpartner abonnement;0;0;0.00%;38;315;16.67;12.06%;0.44
Anagrammes fleches;0;0;0;0;0;0;0;0
auto moto abonnement;0;0;0.00%;5;29;3.24;17.24%;0.65
