Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
algeco,1,1,18100,33,1.82,https://www.algeco.fr/,14480,67.18,26353.00,0.93,1720000,"[81,66,81,66,100,81,100,81,81,81,81,66]",2023-06-21,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, navigational",Organic
algéco,1,1,2900,33,1.82,https://www.algeco.fr/,2320,10.76,4222.00,0.93,18800,"[81,100,81,81,65,100,54,54,54,54,36,54]",2023-06-18,"Knowledge panel, Local pack, Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",navigational,Organic
location algeco,1,1,480,38,2.56,https://www.algeco.fr/professionnels-du-btp/super-base-vie,384,1.78,983.00,0.52,87500,"[66,81,66,66,81,81,81,81,81,81,81,66]",2023-06-14,"Local pack, Sitelinks, Reviews, Ads top, Ads bottom, Indented, Related searches","navigational, transactional",Organic
algecco,1,1,480,33,1.82,https://www.algeco.fr/,384,1.78,698.00,0.93,855000,"[100,13,13,13,16,13,62,13,16,13,16,24]",2023-06-13,"Knowledge panel, Local pack, Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, navigational",Organic
algeco saint amour,1,1,260,25,1.17,https://www.algeco.fr/newsroom/plongez-dans-les-coulisses-du-site-de-saint-amour,208,0.96,243.00,0.16,93,"[82,82,53,53,100,66,66,53,66,66,82,53]",2023-06-13,"Knowledge panel, Image pack, Reviews, Image, Video Carousel, Indented","navigational, transactional",Organic
algeco chantier,1,1,210,24,0.88,https://www.algeco.fr/professionnels-du-btp/base-vie,168,0.77,147.00,1,45700,"[53,65,43,43,65,65,53,53,65,81,100,100]",2023-06-03,"Image pack, Reviews, Image, Ads bottom, People also ask, Indented, Related searches",navigational,Organic
algeco,1,1,18100,33,1.82,https://www.algeco.fr/faq/ai-je-besoin-d-un-permis-de-construire,162,0.75,294.00,0.93,1720000,"[81,66,81,66,100,81,100,81,81,81,81,66]",2023-06-21,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, navigational",People also ask
algeco toulouse,1,1,170,16,1.87,https://www.algeco.fr/,136,0.63,254.00,0.74,52100,"[52,80,80,100,66,100,100,52,80,66,80,66]",2023-06-07,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
algeco location,1,1,170,28,2.47,http://www.algeco.fr/,136,0.63,335.00,0.5,80900,"[65,65,65,42,53,53,53,53,100,80,65,53]",2023-06-10,"Local pack, Sitelinks, Reviews, Image, Ads bottom, Indented, Related searches",navigational,Local pack
bureau algeco,1,1,140,15,1.75,https://www.algeco.fr/professionnels-du-btp/base-vie/bureaux-de-chantier,112,0.51,196.00,1,85400,"[66,52,42,66,66,52,66,66,100,100,80,66]",2023-06-07,"Image pack, Reviews, Image, Indented, Related searches","navigational, transactional",Organic
algeco vitrolles,1,1,140,24,2.26,https://www.algeco.fr/nos-agences/agence-marseille,112,0.51,253.00,0.3,84,"[66,100,80,66,66,52,52,66,80,80,80,80]",2023-06-07,"Knowledge panel, Image pack, Reviews, Indented",informational,Organic
algeco servon,1,1,140,23,1.57,https://www.algeco.fr/newsroom/plongez-dans-les-coulisses-du-site-algeco-de-servon,112,0.51,175.00,0.16,83,"[82,100,100,82,82,82,82,64,64,64,52,82]",2023-06-01,"Knowledge panel, Image pack, Reviews, Image, Indented",informational,Organic
location algeco bureau,1,1,140,12,2.28,https://www.algeco.fr/professionnels-du-btp/base-vie/salle-de-reunion-pour-chantier,112,0.51,255.00,0.63,92,"[22,22,29,22,22,35,35,35,29,35,29,35]",2023-05-30,"Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
algeco,3,4,18100,33,1.82,http://www.algeco.fr/,108,0.5,196.00,0.93,1720000,"[81,66,81,66,100,81,100,81,81,81,81,66]",2023-06-21,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, navigational",Local pack
algeco,3,4,18100,33,1.82,http://www.algeco.fr/,108,0.5,196.00,0.93,1720000,"[81,66,81,66,100,81,100,81,81,81,81,66]",2023-06-21,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, navigational",Local pack
algeco,3,4,18100,33,1.82,https://www.algeco.fr/,108,0.5,196.00,0.93,1720000,"[81,66,81,66,100,81,100,81,81,81,81,66]",2023-06-21,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, navigational",Local pack
algeco,1,1,18100,33,1.82,https://www.algeco.fr/newsroom/le-modulaire-une-construction-durable-durable-durable,90,0.41,163.00,0.93,1720000,"[81,66,81,66,100,81,100,81,81,81,81,66]",2023-06-21,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, navigational",People also ask
algeco france,1,1,110,37,2.35,https://www.algeco.fr/,88,0.4,206.00,0.21,167000,"[100,78,78,64,100,78,78,78,78,78,100,78]",2023-06-12,"Local pack, Image pack, Sitelinks, Reviews, Image, Video Carousel, Indented, Related searches",navigational,Organic
