Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cougnaud construction,1,1,1000,23,1.00,https://www.cougnaud-construction.com/,800,52.94,800.00,0.29,91,"[81,81,62,45,81,81,62,62,62,55,62,45]",2023-06-23,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, FAQ, Find results on, Indented, Related searches","commercial, navigational",Organic
préfabriqué,3,3,2400,31,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,52,3.44,49.00,0.95,3510000,"[82,55,65,55,82,100,82,82,100,65,82,100]",2023-06-21,"Instant answer, Knowledge panel, Local pack, Reviews, Image, People also ask, Find results on, Indented","commercial, informational",Organic
prefabrique,2,2,590,30,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,48,3.17,45.00,0.95,259000,"[76,67,55,10,45,36,100,24,67,30,36,45]",2023-06-19,"Instant answer, Knowledge panel, Local pack, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
préfabriqués,2,2,720,26,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/batiments-prefabriques/,46,3.04,43.00,0.95,3680000,"[54,36,0,36,66,20,20,36,16,30,10,24]",2023-06-23,"Knowledge panel, Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
cougnaud,2,2,4400,31,0.83,https://www.cougnaud-construction.com/,44,2.91,36.00,0.16,98,"[81,81,81,66,81,100,100,81,100,66,66,53]",2023-06-24,"Knowledge panel, Local pack, Sitelinks, Reviews, Tweet, Image, Find results on, Indented, Related searches","commercial, navigational",Organic
préfabriqués,3,3,720,26,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,31,2.05,29.00,0.95,3680000,"[54,36,0,36,66,20,20,36,16,30,10,24]",2023-06-23,"Knowledge panel, Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
construction modulaire,5,5,1300,45,1.63,https://www.cougnaud-construction.com/,28,1.85,45.00,0.96,7800000,"[81,81,81,81,100,81,100,55,100,100,100,62]",2023-06-20,"Knowledge panel, Local pack, Sitelinks, Reviews, Ads bottom, Find results on",commercial,Organic
prefabriqués,1,1,110,18,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,27,1.78,25.00,0.95,8640000,"[7,100,53,0,0,66,43,28,0,0,0,0]",2023-06-17,"Knowledge panel, Local pack, Reviews, Video Carousel, People also ask, Find results on, Indented, Related searches","commercial, informational",Organic
prefabriqué,3,3,390,22,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,25,1.65,23.00,0.95,113000,"[62,36,24,10,100,20,8,10,4,6,6,5]",2023-06-23,"Instant answer, Knowledge panel, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
batiments modulaires,5,5,480,37,2.64,https://www.cougnaud-construction.com/,21,1.38,55.00,1,70300,"[39,39,26,26,26,39,26,59,88,88,100,72]",2023-06-15,"Local pack, Sitelinks, Reviews, Ads bottom, Find results on, Indented, Related searches",informational,Organic
façade mob,1,1,70,5,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/mob-bois/,17,1.12,0.00,0.01,8430000,"[9,9,34,6,6,34,34,34,9,34,34,9]",2023-05-29,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
prefabriqués,2,2,110,18,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/batiments-prefabriques/,14,0.92,13.00,0.95,8640000,"[7,100,53,0,0,66,43,28,0,0,0,0]",2023-06-17,"Knowledge panel, Local pack, Reviews, Video Carousel, People also ask, Find results on, Indented, Related searches","commercial, informational",Organic
construction préfabriquée,2,2,110,15,1.05,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,14,0.92,14.00,0.96,415000,"[100,82,52,82,52,64,64,52,52,64,82,82]",2023-06-15,"Knowledge panel, Local pack, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
constructeur modulaire,3,3,590,37,1.63,https://www.cougnaud-construction.com/,14,0.92,22.00,0.96,9330000,"[54,54,54,54,0,3,0,10,2,0,0,30]",2023-06-13,"Local pack, Image pack, Sitelinks, Reviews, Find results on, Indented, Related searches",commercial,Organic
maisons des communes 85,6,6,1300,32,0.00,https://www.cougnaud-construction.com/realisations/maison-des-communes/,13,0.86,0.00,0,14000000,"[81,81,62,45,62,81,62,81,81,81,100,62]",2023-06-23,"Knowledge panel, Sitelinks, Reviews, Indented, Related searches",navigational,Organic
facade ossature bois,3,3,210,7,0.66,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/fob/,13,0.86,9.00,0.1,243000,"[53,100,80,65,42,100,100,65,53,100,80,100]",2023-05-31,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
batiment modulaire,5,5,720,39,2.64,https://www.cougnaud-construction.com/,13,0.86,34.00,1,577000,"[72,59,48,72,88,100,72,59,88,88,100,72]",2023-06-23,"Local pack, Image pack, Sitelinks, Reviews, Find results on, Indented, Related searches",commercial,Organic
maison des communes 85,6,6,1300,27,0.00,https://www.cougnaud-construction.com/realisations/maison-des-communes/,13,0.86,0.00,0,86,"[81,81,62,45,100,81,81,62,81,81,100,62]",2023-06-24,"Knowledge panel, Sitelinks, Reviews, Image, Indented, Related searches",navigational,Organic
batiments modulaire,3,3,170,39,2.44,https://www.cougnaud-construction.com/,13,0.86,34.00,1,5240000,"[23,36,36,23,15,19,19,23,12,36,36,44]",2023-05-31,"Local pack, Image pack, Sitelinks, Reviews, Ads bottom, People also ask, Find results on, Indented, Related searches",informational,Organic
mob batiment,1,1,50,18,0.96,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/mob-bois/,12,0.79,11.00,0.1,731000,"[27,100,18,18,100,100,36,18,18,18,45,18]",2023-06-13,"Image pack, Reviews, People also ask, Indented, Related searches","commercial, informational",Organic
batiment préfabriqué,2,2,320,22,1.53,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/batiments-prefabriques/,11,0.72,16.00,1,102000,"[81,66,54,66,100,100,66,43,81,66,81,66]",2023-06-16,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
entraineur paris fc,2,2,320,28,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,10,0.66,0.00,0,2200000,"[67,19,19,54,29,36,19,29,36,29,23,44]",2023-06-23,"Knowledge panel, Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,People also ask
mob bâtiment,1,1,40,10,1.21,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/mob-bois/,9,0.59,12.00,0.06,4140000,"[77,55,55,44,0,77,100,22,22,22,22,22]",2023-06-01,"Local pack, Image pack, Reviews, People also ask, Find results on, Indented, Related searches",informational,Organic
module préfabriqué,2,2,70,6,1.67,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/modules-prefabriques/,9,0.59,15.00,1,168000,"[63,100,45,63,63,81,63,36,81,63,63,45]",2023-06-21,"Image pack, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
modules prefabriques,1,1,40,5,1.67,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/modules-prefabriques/,9,0.59,15.00,1,877000,"[22,11,11,11,55,55,55,22,44,55,100,55]",2023-06-24,"Image pack, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
batiment prefabrique,2,2,70,7,1.53,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/batiments-prefabriques/,9,0.59,14.00,1,52500,"[100,100,36,18,100,81,63,36,45,36,45,63]",2023-06-04,"Image pack, Reviews, Image, Related searches",informational,Organic
préfabrique,1,1,70,19,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,9,0.59,8.00,0.95,2530000,"[100,11,0,0,65,34,19,15,0,0,15,19]",2023-06-09,"Instant answer, Knowledge panel, Local pack, Reviews, Image, Find results on, Related searches",commercial,Organic
construction modulaire bois,5,5,210,16,0.92,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/construction-modulaire-bois/,9,0.59,8.00,1,4400000,"[35,35,35,28,44,28,23,23,44,35,44,35]",2023-06-14,"Local pack, Sitelinks, Reviews, Image, Indented, Related searches",commercial,Organic
préfabriqué bureau,1,1,40,4,2.15,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/bureaux-prefabriques/,9,0.59,19.00,1,569000,"[15,9,9,9,15,12,12,9,15,9,9,15]",2023-06-09,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
cougnaud la roche sur yon,2,2,320,23,0.84,https://www.cougnaud-construction.com/,8,0.52,6.00,0.08,63,"[66,66,54,43,100,66,43,43,81,54,81,81]",2023-06-14,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Related searches",navigational,Organic
façade ossature bois,3,3,110,4,0.65,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/fob/,7,0.46,4.00,0.17,3540000,"[64,52,52,41,64,64,64,41,64,100,82,52]",2023-06-09,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
batiment ossature bois,3,3,110,14,0.60,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/,7,0.46,4.00,1,386000,"[80,66,42,52,52,52,52,42,66,66,66,66]",2023-06-16,"Image pack, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
batiment modulable,6,6,320,36,2.64,https://www.cougnaud-construction.com/,6,0.39,15.00,1,7250000,"[72,88,59,88,14,17,14,5,11,11,11,11]",2023-06-19,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
construction modulaire préfabriquée,2,2,50,26,1.65,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,6,0.39,9.00,1,80400,"[63,100,63,81,45,36,27,45,36,36,45,36]",2023-06-14,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, Ads top, Ads bottom, Find results on, Indented, Related searches",informational,Organic
modules préfabriqués,2,2,50,6,1.67,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/modules-prefabriques/,6,0.39,10.00,1,634000,"[18,9,0,9,9,9,81,18,100,81,100,63]",2023-06-14,"Image pack, Reviews, Indented, Related searches",commercial,Organic
constructions modulaires,4,4,260,42,1.63,https://www.cougnaud-construction.com/,6,0.39,9.00,0.96,353000,"[54,54,54,35,29,54,43,100,54,54,54,35]",2023-06-23,"Knowledge panel, Local pack, Sitelinks, Reviews, People also ask, Find results on, Related searches",commercial,Organic
bureau préfabriqué,8,8,260,5,1.88,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/bureaux-prefabriques/,6,0.39,11.00,1,578000,"[66,53,66,43,66,82,66,66,100,82,82,82]",2023-06-13,"Image pack, Reviews, Image, Ads top, Shopping ads, Indented, Related searches",informational,Organic
bâtiment préfabriqué,2,2,40,19,1.53,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/batiments-prefabriques/,5,0.33,7.00,1,768000,"[14,4,9,14,19,4,4,80,14,9,19,9]",2023-06-23,"Knowledge panel, Local pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
bâtiments modulaires,4,4,90,39,2.64,https://www.cougnaud-construction.com/,5,0.33,13.00,1,843000,"[43,53,23,5,28,35,28,12,5,17,28,5]",2023-06-07,"Local pack, Image pack, Reviews, Ads bottom, People also ask, Find results on, Indented, Related searches",commercial,Organic
