Market,Business Unit,KW
Aerospace,Power Transfer Technologies,aeronautics carbon brush
Aerospace,Power Transfer Technologies,auxiliary motor brush
Aerospace,Power Transfer Technologies,starter motor brush
Aerospace,Power Transfer Technologies,generator brush
Aerospace,Power Transfer Technologies,slip ring for generator
Aerospace,Power Transfer Technologies,brush card for generator
Aerospace,Power Transfer Technologies,brush-holder for generator
Aerospace,Power Transfer Technologies,specific brush grade for aircraft application
Aerospace,Graphite Specialties,solid silicon carbide
Aerospace,Graphite Specialties,shaft seal
Aerospace,Graphite Specialties,graphite bearing
Aerospace,Graphite Specialties,graphite vane guide
Aerospace,Graphite Specialties,cabon pump vane
Aerospace,Graphite Specialties,CC composite brake disk
Aerospace,Graphite Specialties,space optics
Aerospace,Solutions for Power Management,laminated busbars
Aerospace,Solutions for Power Management,heat sink
Aerospace,Solutions for Power Management,capacitor
Battery Energy Storage,Solutions for Power Management,Electrical energy storage
Battery Energy Storage,Solutions for Power Management,DC fuse
Battery Energy Storage,Solutions for Power Management,laminated busbars
Battery Energy Storage,Solutions for Power Management,DC overcurrent protection
Battery Energy Storage,Solutions for Power Management,cooling solutions
Battery Energy Storage,Solutions for Power Management,surge protection
Battery Energy Storage,Solutions for Power Management,smart grid
Battery Energy Storage,Solutions for Power Management,micro grid
Battery Energy Storage,Graphite Specialties,Redox flow batteries
Battery Energy Storage,Graphite Specialties,Vanadium redox flow batteries (VRFB) 
Battery Energy Storage,Graphite Specialties,carbon graphite soft felt
Building & Infrastructure,Electrical Protection & Control,Fuses for Lighting
Building & Infrastructure,Electrical Protection & Control,Fuses for HVAC
Building & Infrastructure,Electrical Protection & Control,Cable Protectors
Building & Infrastructure,Electrical Protection & Control,Surge protection devices
Building & Infrastructure,Electrical Protection & Control,power monitoring
Building & Infrastructure,Electrical Protection & Control,lightning protection
Building & Infrastructure,Electrical Protection & Control,industrial controls
Building & Infrastructure,Electrical Protection & Control,LED Street Lighting
Building & Infrastructure,Electrical Protection & Control,electrical distribution network
Building & Infrastructure,Electrical Protection & Control,building with critical loads
Chemicals,Anticorrosion Equipment,HCl burner
Chemicals,Anticorrosion Equipment,HCL synthesis unit
Chemicals,Anticorrosion Equipment,Graphite heat exchanger
Chemicals,Anticorrosion Equipment,Graphite tubes
Chemicals,Anticorrosion Equipment,Graphite blocks
Chemicals,Anticorrosion Equipment,Silicon carbide heat exchanger
Chemicals,Anticorrosion Equipment,PTFE lined column
Chemicals,Anticorrosion Equipment,PTFE piping
Chemicals,Anticorrosion Equipment,PTFE bellows
Chemicals,Anticorrosion Equipment,Graphite bursting discs (ou graphite rupture discs)
Electric Vehicle,Electrical Protection & Control,electric bus iec cylindrical fuse link
Electric Vehicle,Electrical Protection & Control,electric bus iec cylindrical fusegear
Electric Vehicle,Solutions for Power Management,electric vehicle battery module
Electric Vehicle,Solutions for Power Management,electric vehicle battery module bus bars
Electric Vehicle,Solutions for Power Management,electric vehicle battery module fuses
Electric Vehicle,Solutions for Power Management,electric vehicle battery thermal management
Electric Vehicle,Solutions for Power Management,ev battery module bus bars
Electric Vehicle,Solutions for Power Management,ev battery module fuses
Electric Vehicle,Solutions for Power Management,ev battery thermal management
Electric Vehicle,Solutions for Power Management,ev charging station bus bars
Electric Vehicle,Solutions for Power Management,ev charging station cooling solutions
Electric Vehicle,Solutions for Power Management,ev charging station fuse
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,Fuses for Transformers
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,Fuses for power distribution
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,Medium Voltage Fuses
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,Cable Protectors
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,E-rated Fuses
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,R-rated Fuses
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,DC distribution Fuses
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,Surge Protection Devices
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,Medium Voltage Transformer fuses
"Electrical Production, Transmission & Distribution",Electrical Protection & Control,Fuses for capacitor banks
Energy Conversion / Power Electronics,Solutions for Power Management,DC Fuses
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses for Power Electronics
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses for Inverters
Energy Conversion / Power Electronics,Solutions for Power Management,Cooling for Inverters
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses for converters
Energy Conversion / Power Electronics,Solutions for Power Management,Cooling solutons for Inverters
Energy Conversion / Power Electronics,Solutions for Power Management,Cooling for SiC
Energy Conversion / Power Electronics,Solutions for Power Management,Cooling for Silicon Carbide
Energy Conversion / Power Electronics,Solutions for Power Management,Cooling for Si
Energy Conversion / Power Electronics,Solutions for Power Management,Cooling for Silicon Power Modules
Energy Conversion / Power Electronics,Solutions for Power Management,Cooling  for IGBT
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses for SiC Components
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses for Silicon Carbide
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses for Si
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses for Silicon Power Modules
Energy Conversion / Power Electronics,Solutions for Power Management,Fuses  for IGBT
Energy Conversion / Power Electronics,Solutions for Power Management,Heat sinks for power electronics
Energy Conversion / Power Electronics,Solutions for Power Management,High speed fuses
Railways & Metro,Power Transfer Technologies,carbon brush                                                                                  
Railways & Metro,Power Transfer Technologies,traction motor brush
Railways & Metro,Power Transfer Technologies,brush holder
Railways & Metro,Power Transfer Technologies,carbon strip
Railways & Metro,Power Transfer Technologies,contact strip
Railways & Metro,Power Transfer Technologies,current collection
Railways & Metro,Power Transfer Technologies,pantograph strip
Railways & Metro,Power Transfer Technologies,ccd shoe
Railways & Metro,Power Transfer Technologies,current collector
Railways & Metro,Power Transfer Technologies,wheel rail lubrication
Railways & Metro,Electrical Protection & Control,railways fuses
Railways & Metro,Electrical Protection & Control,Earth Return Current Units
Railways & Metro,Electrical Protection & Control,railways SPD
Semiconductors,Graphite Specialties,graphite susceptor for ALD
Semiconductors,Graphite Specialties,iso graphite crucible
Semiconductors,Graphite Specialties,graphite felt insulation
Semiconductors,Graphite Specialties,silicon crystal growth 
Semiconductors,Graphite Specialties,graphite heater
Semiconductors,Graphite Specialties,epitaxy
Semiconductors,Graphite Specialties,wafer carrier
Semiconductors,Graphite Specialties,solid SiC CVD
Semiconductors,Graphite Specialties,porous graphite
Semiconductors,Graphite Specialties,SiC coated
Semiconductors,Graphite Specialties,TaC coated graphite
Solar,Graphite Specialties,silicon crystal growth 
