Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
portakabin,1,1,1900,26,18.72,https://www.portakabin.com/fr/,1520,58.96,28454.00,0.99,668000,"[79,79,79,79,100,100,66,66,100,66,79,66]",2023-06-20,"Local pack, Image pack, Sitelinks, Reviews, Video Carousel, See results about",navigational,Organic
portacabin,1,1,260,36,14.87,https://www.portakabin.com/fr/a-propos-de-nous/marques-deposees/portakabin-ou-portacabin/,208,8.06,3092.00,1,3470000,"[100,54,44,35,44,44,15,28,23,44,44,44]",2023-06-24,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches","informational, transactional",Organic
portakabine,1,1,170,23,18.72,http://www.portakabin.com/fr/,136,5.27,2545.00,0.99,924,"[36,44,15,12,15,23,100,19,15,15,6,9]",2023-06-14,"Local pack, Image pack, Sitelinks, Reviews, Image, Indented, See results about",navigational,Local pack
portakabin templemars,1,1,140,26,20.97,https://www.portakabin.com/fr/nos-agences/agence-de-lille/,112,4.34,2348.00,0.19,91,"[66,52,52,66,42,52,66,66,52,66,66,66]",2023-06-01,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches",informational,Organic
portakabin rennes,1,1,70,24,24.84,https://www.portakabin.com/fr/nos-agences/agence-de-rennes/,56,2.17,1391.00,0.69,69,"[23,23,23,33,19,33,52,33,42,9,33,14]",2023-06-09,"Knowledge panel, Image pack, Reviews, Image, Ads top, Indented, Related searches","navigational, transactional",Organic
portacabine,1,1,210,25,14.87,https://www.portakabin.com/fr/a-propos-de-nous/marques-deposees/portakabin-ou-portacabin/,52,2.01,773.00,1,49700,"[100,53,35,23,43,43,53,43,53,66,53,43]",2023-06-18,"Local pack, Image pack, Reviews, Image, Ads bottom, Find results on, Indented, Related searches",commercial,Organic
portakabin,1,1,1900,26,18.72,http://www.portakabin.com/fr/,34,1.31,636.00,0.99,668000,"[79,79,79,79,100,100,66,66,100,66,79,66]",2023-06-20,"Local pack, Image pack, Sitelinks, Reviews, Video Carousel, See results about",navigational,Local pack
portakabin crespin,1,1,40,22,1.43,https://www.portakabin.com/fr/nos-agences/usine-de-valenciennes/,32,1.24,45.00,0.49,81,"[35,35,28,21,28,28,21,14,50,35,28,35]",2023-06-15,"Knowledge panel, Image pack, Reviews, Image, Indented",informational,Organic
batiments modulaires,4,4,480,37,2.64,https://www.portakabin.com/fr/,31,1.2,81.00,1,70300,"[39,39,26,26,26,39,26,59,88,88,100,72]",2023-06-15,"Local pack, Sitelinks, Reviews, Ads bottom, Find results on, Indented, Related searches",informational,Organic
portaloo,1,1,110,22,0.67,https://www.portakabin.com/fr/a-propos-de-nous/marques-deposees/portaloo-ou-porta-loo/,27,1.04,18.00,0.66,1690000,"[52,52,66,66,100,33,33,42,52,33,80,52]",2023-06-15,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
portakabin,1,1,1900,26,18.72,http://www.portakabin.com/fr/,26,1,486.00,0.99,668000,"[79,79,79,79,100,100,66,66,100,66,79,66]",2023-06-20,"Local pack, Image pack, Sitelinks, Reviews, Video Carousel, See results about",navigational,Local pack
portakabin corbas,1,1,30,22,34.36,https://www.portakabin.com/fr/nos-agences/agence-de-lyon/,24,0.93,824.00,0.14,74,"[6,10,4,14,4,4,4,4,6,4,4,4]",2023-05-28,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches",informational,Organic
portacabins,1,1,70,31,14.87,https://www.portakabin.com/fr/a-propos-de-nous/marques-deposees/portakabin-ou-portacabin/,17,0.65,252.00,1,1730000,"[100,3,6,3,0,3,43,0,81,3,3,6]",2023-06-23,"Knowledge panel, Local pack, Reviews, Find results on, Indented, Related searches",commercial,Organic
construction modulaire,7,7,1300,45,1.63,https://www.portakabin.com/fr/,16,0.62,26.00,0.96,7800000,"[81,81,81,81,100,81,100,55,100,100,100,62]",2023-06-20,"Knowledge panel, Local pack, Sitelinks, Reviews, Ads bottom, Find results on",commercial,Organic
réfectoires,10,10,2900,34,0.00,https://www.portakabin.com/fr/nos-batiments/etablissements-de-sante/non-clinique/refectoires/,14,0.54,0.00,0,4430000,"[81,81,54,54,100,81,81,81,81,65,0,81]",2023-06-21,"Instant answer, Knowledge panel, Local pack, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
construction modulaire préfabriquée,1,1,50,26,1.65,https://www.portakabin.com/fr/pourquoi-modulaire/quest-ce-que-la-construction-modulaire/,12,0.46,19.00,1,80400,"[63,100,63,81,45,36,27,45,36,36,45,36]",2023-06-14,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, Ads top, Ads bottom, Find results on, Indented, Related searches",informational,Organic
locaux techniques,4,4,390,17,0.91,https://www.portakabin.com/fr/nos-batiments/etablissements-scolaires/locaux-techniques/,11,0.42,10.00,0.15,41600000,"[36,44,100,36,36,19,67,10,36,44,44,36]",2023-06-12,"Knowledge panel, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
portakabin occasion,3,3,140,19,0.71,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/bureau-modulaire-occasion/,11,0.42,7.00,0.84,47,"[53,65,53,53,53,42,100,53,65,53,42,53]",2023-06-19,"Local pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
postes de garde,5,5,480,14,1.71,https://www.portakabin.com/fr/nos-batiments/autres-utilisations/postes-de-garde/,10,0.38,17.00,0.05,118000000,"[0,0,72,88,100,88,100,88,0,48,0,0]",2023-06-17,"Local pack, Image pack, Reviews, Featured snippet, Find results on, Indented, Related searches",commercial,Organic
portacabins,2,2,70,31,14.87,https://www.portakabin.com/be-fr/a-propos-de-nous/marques/,9,0.34,133.00,1,1730000,"[100,3,6,3,0,3,43,0,81,3,3,6]",2023-06-23,"Knowledge panel, Local pack, Reviews, Find results on, Indented, Related searches",commercial,Organic
douche vestiaire,3,3,140,8,0.00,https://www.portakabin.com/fr/nos-batiments/toilettes-douches-et-vestiaires/,9,0.34,0.00,1,5100000,"[80,65,53,42,42,53,42,19,53,42,53,65]",2023-06-01,"Image pack, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
locaux techniques,5,5,390,17,0.91,https://www.portakabin.com/fr/nos-batiments/etablissements-de-sante/non-clinique/locaux-techniques/,9,0.34,8.00,0.15,41600000,"[36,44,100,36,36,19,67,10,36,44,44,36]",2023-06-12,"Knowledge panel, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
prefabrique modulaire,1,1,40,11,1.10,https://www.portakabin.com/fr/pourquoi-modulaire/quest-ce-que-la-construction-modulaire/,9,0.34,9.00,1,529000,"[18,100,18,100,18,18,18,18,18,18,18,18]",2023-06-13,"Image pack, Sitelinks, Reviews, Image, Video Carousel, Indented, Related searches",commercial,Organic
portacabine,1,1,210,25,14.87,http://www.portakabin.com/be-nl/,9,0.34,133.00,1,49700,"[100,53,35,23,43,43,53,43,53,66,53,43]",2023-06-18,"Local pack, Image pack, Reviews, Image, Ads bottom, Find results on, Indented, Related searches",commercial,Local pack
préfabriqué modulaire,1,1,40,17,1.10,https://www.portakabin.com/fr/pourquoi-modulaire/quest-ce-que-la-construction-modulaire/,9,0.34,10.00,1,715000,"[21,78,14,78,14,14,14,14,14,21,21,14]",2023-06-04,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
réfectoires,11,11,2900,34,0.00,https://www.portakabin.com/fr/nos-batiments/etablissements-scolaires/refectoire/,8,0.31,0.00,0,4430000,"[81,81,54,54,100,81,81,81,81,65,0,81]",2023-06-21,"Instant answer, Knowledge panel, Local pack, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
portacabin,10,10,260,36,14.87,http://www.portakabin.com/be-nl/,8,0.31,118.00,1,3470000,"[100,54,44,35,44,44,15,28,23,44,44,44]",2023-06-24,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches","informational, transactional",Knowledge panel
batiment préfabriqué,5,5,320,22,1.53,https://www.portakabin.com/fr/pourquoi-modulaire/quest-ce-que-la-construction-modulaire/,7,0.27,10.00,1,102000,"[81,66,54,66,100,100,66,43,81,66,81,66]",2023-06-16,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
portacabine,1,1,210,25,14.87,http://www.portakabin.com/fr/,7,0.27,104.00,1,49700,"[100,53,35,23,43,43,53,43,53,66,53,43]",2023-06-18,"Local pack, Image pack, Reviews, Image, Ads bottom, Find results on, Indented, Related searches",commercial,Local pack
batiment modulaire,7,7,720,39,2.64,https://www.portakabin.com/fr/,6,0.23,15.00,1,577000,"[72,59,48,72,88,100,72,59,88,88,100,72]",2023-06-23,"Local pack, Image pack, Sitelinks, Reviews, Find results on, Indented, Related searches",commercial,Organic
portacabin,2,2,260,36,14.87,https://www.portakabin.com/be-fr/a-propos-de-nous/marques/,6,0.23,89.00,1,3470000,"[100,54,44,35,44,44,15,28,23,44,44,44]",2023-06-24,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches","informational, transactional",Organic
portacabine,1,1,210,25,14.87,http://www.portakabin.com/fr/,6,0.23,89.00,1,49700,"[100,53,35,23,43,43,53,43,53,66,53,43]",2023-06-18,"Local pack, Image pack, Reviews, Image, Ads bottom, Find results on, Indented, Related searches",commercial,Local pack
bloc sanitaire préfabriqué,2,2,50,5,1.10,https://www.portakabin.com/fr/nos-batiments/notre-gamme-de-produits/bloc-sanitaire-prefabrique/,6,0.23,6.00,1,70900,"[53,26,19,42,34,19,15,15,7,15,7,7]",2023-06-19,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
